****************************** PROCRANK MEMORY REPORT FOR PACKAGE: START
### package_name=com.bestv.ott monitor_interval=1
*VSS - Virtual Set Size,    RSS - Resident Set Size,    PSS - Proportional Set Size,    USS - Unique Set Size
*Time   PID       Vss      Rss      Pss      Uss  cmdline
15:56:07   3372   745264K  205596K  181838K  179068K  com.bestv.ott
15:56:10   3372   738720K  207252K  183494K  180724K  com.bestv.ott
15:56:13   3372   740340K  208816K  185058K  182288K  com.bestv.ott
15:56:16   3372   742680K  212500K  188742K  185972K  com.bestv.ott
15:56:19   3372   744244K  216044K  192281K  189508K  com.bestv.ott
15:56:22   3372   747588K  220240K  196477K  193704K  com.bestv.ott
15:56:25   3372   752292K  224708K  200945K  198172K  com.bestv.ott
15:56:28   3372   754264K  230136K  206373K  203600K  com.bestv.ott
15:56:30   3372   756600K  236540K  212777K  210004K  com.bestv.ott
15:56:33   3372   758584K  239184K  215421K  212648K  com.bestv.ott
15:56:36   3372   759724K  242968K  219205K  216432K  com.bestv.ott
15:56:39   3372   759884K  244268K  220505K  217732K  com.bestv.ott
15:56:42   3372   759932K  244752K  220989K  218216K  com.bestv.ott
15:56:45   3372   773016K  255436K  231683K  228908K  com.bestv.ott
15:56:48   3372   779068K  258088K  234335K  231560K  com.bestv.ott
15:56:50   3372   764940K  237608K  213855K  211080K  com.bestv.ott
15:56:53   3372   767216K  240328K  216575K  213800K  com.bestv.ott
15:56:56   3372   769772K  242624K  218871K  216096K  com.bestv.ott
15:56:59   3372   720084K  220440K  196682K  193904K  com.bestv.ott
15:57:01   3372   720084K  220448K  196690K  193912K  com.bestv.ott
15:57:04   3372   720084K  220460K  196701K  193924K  com.bestv.ott
15:57:07   3372   720084K  220472K  196713K  193936K  com.bestv.ott
15:57:09   3372   720084K  220476K  196717K  193940K  com.bestv.ott
15:57:12   3372   744520K  242760K  219001K  216224K  com.bestv.ott
15:57:15   3372   745676K  243820K  220061K  217284K  com.bestv.ott
15:57:18   3372   765368K  247080K  223229K  220356K  com.bestv.ott
15:57:21   3372   782616K  248024K  224173K  221300K  com.bestv.ott
15:57:23   3372   773432K  243232K  219453K  216652K  com.bestv.ott
15:57:26   3372   773804K  243592K  219813K  217012K  com.bestv.ott
15:57:29   3372   746392K  247700K  223913K  221104K  com.bestv.ott
15:57:32   3372   750196K  238216K  214429K  211620K  com.bestv.ott
15:57:35   3372   750156K  238100K  214313K  211504K  com.bestv.ott
15:57:38   3372   726216K  235248K  211465K  208660K  com.bestv.ott
15:57:40   3372   742508K  235916K  212133K  209328K  com.bestv.ott
15:57:43   3372   742428K  235900K  212116K  209312K  com.bestv.ott
15:57:46   3372   742268K  235884K  212100K  209296K  com.bestv.ott
15:57:49   3372   742268K  235884K  212100K  209296K  com.bestv.ott
15:57:51   3372   742268K  235884K  212100K  209296K  com.bestv.ott
15:57:54   3372   742428K  235984K  212200K  209396K  com.bestv.ott
15:57:56   3372   742428K  236024K  212240K  209436K  com.bestv.ott
15:57:59   3372   742268K  236028K  212244K  209440K  com.bestv.ott
15:58:01   3372   742284K  236076K  212292K  209488K  com.bestv.ott
15:58:04   3372   742252K  236880K  213096K  210292K  com.bestv.ott
15:58:07   3372   742412K  236928K  213144K  210340K  com.bestv.ott
15:58:10   3372   750696K  251304K  227512K  224700K  com.bestv.ott
15:58:12   3372   779592K  246640K  222781K  219948K  com.bestv.ott
15:58:15   3372   774652K  243632K  219816K  217004K  com.bestv.ott
15:58:18   3372   722156K  219388K  195540K  192712K  com.bestv.ott
15:58:21   3372   746340K  242796K  218932K  216096K  com.bestv.ott
15:58:24   3372   777052K  241812K  217952K  215136K  com.bestv.ott
15:58:27   3372   775000K  241432K  217572K  214756K  com.bestv.ott
15:58:30   3372   775280K  241724K  217864K  215048K  com.bestv.ott
15:58:32   3372   775464K  241796K  217912K  215092K  com.bestv.ott
15:58:35   3372   719536K  228156K  204296K  201480K  com.bestv.ott
15:58:38   3372   759892K  244980K  221127K  218312K  com.bestv.ott
15:58:41   3372   759892K  244980K  221127K  218312K  com.bestv.ott
15:58:43   3372   759972K  239540K  215687K  212872K  com.bestv.ott
15:58:46   3372   759972K  239548K  215695K  212880K  com.bestv.ott
15:58:49   3372   759404K  240268K  216413K  213596K  com.bestv.ott
15:58:52   3372   768280K  246748K  222897K  220080K  com.bestv.ott
15:58:55   3372   759560K  246764K  222867K  220048K  com.bestv.ott
15:58:57   3372   784852K  250400K  226507K  223688K  com.bestv.ott
15:59:00   3372   782036K  249348K  225455K  222636K  com.bestv.ott
15:59:03   3372   782036K  249348K  225455K  222636K  com.bestv.ott
15:59:06   3372   782036K  249348K  225455K  222636K  com.bestv.ott
15:59:08   3372   790136K  249348K  225455K  222636K  com.bestv.ott
15:59:11   3372   790616K  249436K  225543K  222724K  com.bestv.ott
15:59:14   3372   790328K  249348K  225455K  222636K  com.bestv.ott
15:59:17   3372   790136K  249348K  225455K  222636K  com.bestv.ott
15:59:20   3372   790136K  249348K  225455K  222636K  com.bestv.ott
15:59:22   3372   790136K  249348K  225455K  222636K  com.bestv.ott
15:59:25   3372   790616K  249548K  225655K  222836K  com.bestv.ott
15:59:28   3372   757732K  249488K  225595K  222776K  com.bestv.ott
15:59:31   3372   801152K  244960K  220980K  218152K  com.bestv.ott
15:59:34   3372   801816K  243052K  219121K  216304K  com.bestv.ott
15:59:37   3372   791440K  241112K  217181K  214364K  com.bestv.ott
15:59:39   3372   760504K  231052K  207121K  204304K  com.bestv.ott
15:59:42   3372   764732K  242640K  218646K  215816K  com.bestv.ott
15:59:45   3372   764732K  242640K  218646K  215816K  com.bestv.ott
15:59:48   3372   760208K  239876K  215945K  213128K  com.bestv.ott
15:59:50   3372   754772K  241100K  217129K  214304K  com.bestv.ott
15:59:53   3372   754904K  241152K  217221K  214404K  com.bestv.ott
15:59:56   3372   762900K  248976K  225005K  222180K  com.bestv.ott
15:59:59   3372   748448K  247112K  223181K  220364K  com.bestv.ott
