指定应用的CPU内存监控情况
应用包名：,tv.fun.launcher
应用名称: ,tv.fun.launcher
应用PID: ,5207
机器内存大小(MB)：,739.88MB
机器CPU型号：, ARMv7 Processor rev 3 (v7l)
机器android系统版本：,4.2.2
手机型号：,M8_SDK1.0
UID：,10000
时间,应用占用内存PSS(MB),应用占用内存比(%), 机器剩余内存(MB),应用占用CPU率(%),CPU总使用率(%),流量(KB),电量(%),电流(mA),温度(C),电压(V)
2014-11-28 16:23:59,173.93,23.51,164.15,21.28,33.71,373175,0%,0mA,30.0,0.001
2014-11-28 16:24:04,176.18,23.81,161.24,23.75,46.63,373175,0%,0mA,30.0,0.001
2014-11-28 16:24:10,178.17,24.08,156.48,29.24,56.17,373973,0%,0mA,30.0,0.001
2014-11-28 16:24:15,165.28,22.34,160.02,22.15,41.59,374736,0%,0mA,30.0,0.001
2014-11-28 16:24:21,161.37,21.81,160.88,13.54,25.07,374737,0%,0mA,30.0,0.001
2014-11-28 16:24:26,152.33,20.59,168.80,5.13,16.45,374737,0%,0mA,30.0,0.001
2014-11-28 16:24:31,150.49,20.34,163.85,1.42,25.04,374737,0%,0mA,30.0,0.001
2014-11-28 16:24:37,150.50,20.34,167.14,1.14,17.55,374737,0%,0mA,30.0,0.001
注释:已知部分不支持的机型可在此查阅:https://github.com/NetEase/Emmagee/wiki/Some-devices-are-not-supported 
电流:小于0是放电大于0是充电
启动时间:为空是应用已启动或者未搜集到启动时间
N/A表示不支持或者数据异常
